"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,1,6,16,30,30,12.654,1.9,3.14641,2461.09,1.06701452661152,0.626931,356.244
2021,1,6,17,0,30,12.654,1.9,3.00406,1622.37,1.12768790008583,0.571565,355.3
2021,1,6,17,30,30,12.654,1.9,3.31609,962.543,1.26741469140925,0.652458,359.281
2021,1,6,18,0,30,12.654,1.9,3.32646,770.808,1.25764462389023,0.650203,0.817741
2021,1,6,18,30,30,12.654,1.9,3.18613,2177.09,1.24722491957145,0.596843,356.204
2021,1,6,19,0,30,12.654,1.9,3.10073,1277.91,1.15889171193861,0.667961,354.366
2021,1,6,19,30,30,12.654,1.9,2.77132,2160.07,1.09022474747182,0.613478,359.176
2021,1,6,20,0,30,12.654,1.9,2.67669,918.182,1.08096253404084,0.580768,359.243
2021,1,6,20,30,30,12.654,1.9,2.75891,1963.79,1.14832051274895,0.613366,0.978638
2021,1,6,21,0,30,12.654,1.9,2.85701,6219.88,1.03126621199378,0.645137,3.2734
2021,1,6,21,30,30,12.654,1.9,2.692,1049,1.03847965796158,0.547225,0.911504
2021,1,6,22,0,30,12.654,1.9,2.59857,2186.8,0.985904660705081,0.561193,3.79594
2021,1,6,22,30,30,12.654,1.9,2.4582,4000.31,0.931023630204948,0.593822,2.20799
2021,1,6,23,0,30,12.654,1.9,2.55129,1681.58,0.937736103602714,0.508259,0.884712
2021,1,6,23,30,30,12.654,1.9,2.71869,3561.08,0.971083415572524,0.580958,359.78
2021,1,7,0,0,30,12.654,1.9,2.94498,1858.14,1.08295429266428,0.64357,0.844571
2021,1,7,0,30,30,12.654,1.9,2.90465,3121.94,1.02855238077601,0.605375,0.116013
2021,1,7,1,0,30,12.654,1.9,2.85499,1284.12,1.04611184870453,0.581505,359.995
2021,1,7,1,30,30,12.654,1.9,2.51299,5670.65,0.989481682498468,0.538219,1.25185
2021,1,7,2,0,30,12.654,1.9,2.75288,2389.64,1.01050977234265,0.575514,1.33744
2021,1,7,2,30,30,12.654,1.9,2.59874,1918.74,1.0234353912192,0.563079,359.004
